YEAR;NEIGH_BCN;POP_EMP;WOR_LOWSK;POP_PS_EDU;POP_Y_WSTU;POP_INC_LM;AVER_INC
2020;24;66.2;1.7;3.5;5.1;4.4;30241.7
2020;25;64.8;2.4;4.4;6.4;7.7;26551.9
2020;26;65.3;2;3.8;4.6;6.3;26582.7
2020;27;66.1;2.4;4.4;5.7;7.8;21057.1
2020;28;67.1;4.3;8.5;9.9;9;19168.7
2020;29;64.8;6.8;11.1;14.9;12.2;15487
2020;30;66.1;4.1;8.8;10.3;8.7;19070.7
2020;31;65;3.8;8.1;8;9.8;17916.6
2020;32;65.9;3.8;8.7;9.8;9.9;18822.3
2020;33;66;5;11.5;11.4;10.6;16433.7
2020;34;65;7.6;12.9;15.2;11.6;15369.5
2020;35;66.7;6.6;11.5;13.6;12.2;15932.2
2020;36;69.5;4.8;10.4;11.2;5.3;18762.8
2020;37;64.2;13.4;19.2;26;15.3;11778.5
2020;38;64.7;10.1;16.7;20.8;14.2;12963.2
2020;39;65;9.2;17.7;19;15.3;13743.3
2020;40;65.1;5.5;16.3;13.5;11.3;15027.3
2020;41;68.5;4.3;12.9;12.8;7.4;17985
2020;42;68.1;7.9;12.5;27.1;11.3;14567
2020;43;63;8.2;16.2;19.5;13.5;15776.3
2020;44;65.5;8.6;14.9;17.9;13.6;14806.1
2020;45;57.7;11.4;19;29;22;13290.6
2020;46;60.2;16.5;19.2;29.5;23;11031.4
2020;47;51.2;18.5;18.6;41.1;9.5;10377.6
2020;48;66.5;8.9;17.7;19.2;9.1;15070.6
2020;49;64.4;14.3;19.4;26.4;5.8;14067.3
2020;50;58.2;21.8;20.2;40.3;22.7;10154.3
2020;51;60;16.8;20;32.5;21.1;10971.1
2020;52;64.1;13.7;20.2;27;15.9;12250.6
2020;53;55.6;21;18;42.3;23.1;9716.6
2020;54;52.2;22.2;16.8;45;17.2;9135.1
2020;55;52.4;24.4;21.7;46.2;31.6;8433.2
2020;56;52.9;21.5;21.1;48;13.9;9458
2020;57;55.5;21.4;19.3;41.4;30.5;9399.3
2020;58;53;20.7;19.2;45.6;13.7;9588.1
2020;59;56.7;14.9;18.2;38.4;19.3;11894.1
2020;60;69;6.3;12.6;15;7.4;16268.4
2020;61;66.2;7.8;13;14.4;12.4;15304.9
2020;62;66.4;7.8;12.9;16.7;13.1;15020.2
2020;63;66.3;7.2;12.1;13.5;12.9;15592.3
2020;64;65.6;6.2;11.3;13.2;13.7;16031.8
2020;65;65.4;6.6;11.2;14.2;11.5;15625.8
2020;66;62.2;4.2;10.2;11.9;13;16534.6
2020;67;63.8;2;4.3;6.9;7;23016.1
2020;68;67.4;4.5;10.4;13;9.9;16839.9
2020;69;67;3.2;10.5;12.1;11.2;19057
2020;70;50.4;17.4;21.4;41.6;32;10337.9
2020;71;65.9;7;12.7;18.4;11.7;15008.3
2020;72;64.5;8;16.6;18.8;11.7;14333.9
2020;73;63;11.1;18.9;25.1;12.6;13099.7
